Timestamp,1. What is your year of study?,2. What is your gender?,3. How often do you have difficulty falling asleep at night?,"4. On average, how many hours of sleep do you get on a typical day?",5. How often do you wake up during the night and have trouble falling back asleep?,6. How would you rate the overall quality of your sleep?,7. How often do you experience difficulty concentrating during lectures or studying due to lack of sleep?,"8. How often do you feel fatigued during the day, affecting your ability to study or attend classes?","9. How often do you miss or skip classes due to sleep-related issues (e.g., insomnia, feeling tired)?",10. How would you describe the impact of insufficient sleep on your ability to complete assignments and meet deadlines?,"11. How often do you use electronic devices (e.g., phone, computer) before going to sleep?","12. How often do you consume caffeine (coffee, energy drinks) to stay awake or alert?",13. How often do you engage in physical activity or exercise?,14. How would you describe your stress levels related to academic workload?,15. How would you rate your overall academic performance (GPA or grades) in the past semester?
10/24/2024 16:51:15,4,0,5.5,7.5,5.5,3,3.0,5.0,4.5,2,5.5,1.5,3.5,2,2
10/24/2024 16:51:51,3,0,5.5,7.5,5.5,3,5.0,3.0,2.5,3,3.5,3.5,3.5,1,3
10/24/2024 16:52:21,1,1,3.5,7.5,3.5,3,5.0,5.0,2.5,3,5.5,5.5,5.5,2,0
10/24/2024 16:53:00,3,0,5.5,8.5,3.5,1,5.0,5.0,0.3,1,3.5,3.5,7.0,3,4
10/24/2024 16:53:25,4,0,5.5,7.5,5.5,4,7.0,3.0,2.5,2,3.5,3.5,5.5,1,2
10/24/2024 16:53:53,2,0,5.5,7.5,5.5,4,3.0,1.0,2.5,1,3.5,5.5,1.5,2,0
10/24/2024 16:54:24,3,0,3.5,7.5,5.5,3,3.0,5.0,2.5,1,1.5,1.5,0.0,0,3
10/24/2024 16:54:50,3,0,5.5,8.5,7.0,3,7.0,3.0,4.5,2,5.5,1.5,1.5,1,3
10/24/2024 16:55:18,3,0,5.5,8.5,5.5,2,3.0,1.0,0.3,2,1.5,1.5,3.5,3,2
10/24/2024 16:56:33,3,0,7.0,8.5,7.0,4,7.0,7.0,7.0,2,5.5,3.5,5.5,2,1
